;;;;;;;Median;AVG
Time taken for step B;630;ms;;;;Step B;693;731,6
Time taken for step C;55;ms;;;;Step C;57;64,3
Time taken for step E;300;ms;;;;Step E;307,5;316,6
Time taken for step F;1;ms;;;;Step F;2;1,9
Time taken for step G;10527;ms;;;;Step G;11711;11868,4
Time taken for step H;19837;ms;;;;Step H;17061;17403,2
;;;;;;;;
Time taken for step B;508;ms;;;;;;
Time taken for step C;75;ms;;;;;;
Time taken for step E;304;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;10633;ms;;;;;;
Time taken for step H;18016;ms;;;;;;
;;;;;;;;
Time taken for step B;692;ms;;;;;;
Time taken for step C;54;ms;;;;;;
Time taken for step E;334;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;12444;ms;;;;;;
Time taken for step H;17384;ms;;;;;;
;;;;;;;;
Time taken for step B;866;ms;;;;;;
Time taken for step C;53;ms;;;;;;
Time taken for step E;298;ms;;;;;;
Time taken for step F;1;ms;;;;;;
Time taken for step G;13105;ms;;;;;;
Time taken for step H;18226;ms;;;;;;
;;;;;;;;
Time taken for step B;921;ms;;;;;;
Time taken for step C;52;ms;;;;;;
Time taken for step E;276;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;11024;ms;;;;;;
Time taken for step H;17976;ms;;;;;;
;;;;;;;;
Time taken for step B;670;ms;;;;;;
Time taken for step C;53;ms;;;;;;
Time taken for step E;316;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;11087;ms;;;;;;
Time taken for step H;16726;ms;;;;;;
;;;;;;;;
Time taken for step B;945;ms;;;;;;
Time taken for step C;72;ms;;;;;;
Time taken for step E;308;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;14372;ms;;;;;;
Time taken for step H;16738;ms;;;;;;
;;;;;;;;
Time taken for step B;694;ms;;;;;;
Time taken for step C;92;ms;;;;;;
Time taken for step E;374;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;11621;ms;;;;;;
Time taken for step H;16046;ms;;;;;;
;;;;;;;;
Time taken for step B;671;ms;;;;;;
Time taken for step C;59;ms;;;;;;
Time taken for step E;307;ms;;;;;;
Time taken for step F;3;ms;;;;;;
Time taken for step G;12070;ms;;;;;;
Time taken for step H;16461;ms;;;;;;
;;;;;;;;
Time taken for step B;719;ms;;;;;;
Time taken for step C;78;ms;;;;;;
Time taken for step E;349;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;11801;ms;;;;;;
Time taken for step H;16622;ms;;;;;;
