;;;;;;;Median;AVG
Time taken for step B;427035;ms;;;;Step B;448,42;456,5662
Time taken for step C;97;ms;;;;Step C;0,112;0,1114
Time taken for step E;8;ms;;;;Step E;0,0055;0,0062
Time taken for step F;441971;ms;;;;Step F;460,824;459,18
Time taken for step G;10348;ms;;;;Step G;11,711;13,9189
Time taken for step H;43940;ms;;;;Step H;49,035;48,5379
;;;;;;;;
Time taken for step B;495391;ms;;;;;;
Time taken for step C;146;ms;;;;;;
Time taken for step E;6;ms;;;;;;
Time taken for step F;496701;ms;;;;;;
Time taken for step G;8761;ms;;;;;;
Time taken for step H;52347;ms;;;;;;
;;;;;;;;
Time taken for step B;424812;ms;;;;;;
Time taken for step C;74;ms;;;;;;
Time taken for step E;5;ms;;;;;;
Time taken for step F;420241;ms;;;;;;
Time taken for step G;11123;ms;;;;;;
Time taken for step H;46118;ms;;;;;;
;;;;;;;;
Time taken for step B;442877;ms;;;;;;
Time taken for step C;74;ms;;;;;;
Time taken for step E;4;ms;;;;;;
Time taken for step F;434326;ms;;;;;;
Time taken for step G;14887;ms;;;;;;
Time taken for step H;45941;ms;;;;;;
;;;;;;;;
Time taken for step B;453963;ms;;;;;;
Time taken for step C;66;ms;;;;;;
Time taken for step E;4;ms;;;;;;
Time taken for step F;483327;ms;;;;;;
Time taken for step G;11119;ms;;;;;;
Time taken for step H;45736;ms;;;;;;
;;;;;;;;
Time taken for step B;503469;ms;;;;;;
Time taken for step C;158;ms;;;;;;
Time taken for step E;7;ms;;;;;;
Time taken for step F;477670;ms;;;;;;
Time taken for step G;18175;ms;;;;;;
Time taken for step H;49089;ms;;;;;;
;;;;;;;;
Time taken for step B;439630;ms;;;;;;
Time taken for step C;127;ms;;;;;;
Time taken for step E;12;ms;;;;;;
Time taken for step F;461558;ms;;;;;;
Time taken for step G;17005;ms;;;;;;
Time taken for step H;50318;ms;;;;;;
;;;;;;;;
Time taken for step B;457907;ms;;;;;;
Time taken for step C;76;ms;;;;;;
Time taken for step E;5;ms;;;;;;
Time taken for step F;460090;ms;;;;;;
Time taken for step G;29166;ms;;;;;;
Time taken for step H;52031;ms;;;;;;
;;;;;;;;
Time taken for step B;478956;ms;;;;;;
Time taken for step C;130;ms;;;;;;
Time taken for step E;7;ms;;;;;;
Time taken for step F;479551;ms;;;;;;
Time taken for step G;6306;ms;;;;;;
Time taken for step H;52107;ms;;;;;;
;;;;;;;;
Time taken for step B;441622;ms;;;;;;
Time taken for step C;166;ms;;;;;;
Time taken for step E;4;ms;;;;;;
Time taken for step F;436365;ms;;;;;;
Time taken for step G;12299;ms;;;;;;
Time taken for step H;47752;ms;;;;;;
