;;;;;;;Median;AVG
Time taken for step B;254955;ms;;;;Step B;259,2325;260,2597
Time taken for step C;30;ms;;;;Step C;0,032;0,0349
Time taken for step E;82;ms;;;;Step E;0,0795;0,0881
Time taken for step F;2;ms;;;;Step F;0,0025;0,0027
Time taken for step G;289613;ms;;;;Step G;300,036;301,3801
Time taken for step H;90656;ms;;;;Step H;90,6465;91,1863
;;;;;;;;
Time taken for step B;259847;ms;;;;;;
Time taken for step C;32;ms;;;;;;
Time taken for step E;88;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;304554;ms;;;;;;
Time taken for step H;93209;ms;;;;;;
;;;;;;;;
Time taken for step B;282128;ms;;;;;;
Time taken for step C;31;ms;;;;;;
Time taken for step E;77;ms;;;;;;
Time taken for step F;1;ms;;;;;;
Time taken for step G;331493;ms;;;;;;
Time taken for step H;92038;ms;;;;;;
;;;;;;;;
Time taken for step B;254731;ms;;;;;;
Time taken for step C;27;ms;;;;;;
Time taken for step E;70;ms;;;;;;
Time taken for step F;1;ms;;;;;;
Time taken for step G;315324;ms;;;;;;
Time taken for step H;88956;ms;;;;;;
;;;;;;;;
Time taken for step B;258618;ms;;;;;;
Time taken for step C;31;ms;;;;;;
Time taken for step E;77;ms;;;;;;
Time taken for step F;3;ms;;;;;;
Time taken for step G;295076;ms;;;;;;
Time taken for step H;88534;ms;;;;;;
;;;;;;;;
Time taken for step B;261872;ms;;;;;;
Time taken for step C;32;ms;;;;;;
Time taken for step E;76;ms;;;;;;
Time taken for step F;3;ms;;;;;;
Time taken for step G;302601;ms;;;;;;
Time taken for step H;90637;ms;;;;;;
;;;;;;;;
Time taken for step B;252365;ms;;;;;;
Time taken for step C;38;ms;;;;;;
Time taken for step E;116;ms;;;;;;
Time taken for step F;4;ms;;;;;;
Time taken for step G;286718;ms;;;;;;
Time taken for step H;93024;ms;;;;;;
;;;;;;;;
Time taken for step B;250218;ms;;;;;;
Time taken for step C;52;ms;;;;;;
Time taken for step E;132;ms;;;;;;
Time taken for step F;5;ms;;;;;;
Time taken for step G;288350;ms;;;;;;
Time taken for step H;89846;ms;;;;;;
;;;;;;;;
Time taken for step B;262884;ms;;;;;;
Time taken for step C;33;ms;;;;;;
Time taken for step E;77;ms;;;;;;
Time taken for step F;2;ms;;;;;;
Time taken for step G;298637;ms;;;;;;
Time taken for step H;88836;ms;;;;;;
;;;;;;;;
Time taken for step B;264979;ms;;;;;;
Time taken for step C;43;ms;;;;;;
Time taken for step E;86;ms;;;;;;
Time taken for step F;4;ms;;;;;;
Time taken for step G;301435;ms;;;;;;
Time taken for step H;96127;ms;;;;;;
